date,time,Open,High,Low,Close,1004,ema4,ema8,ema16,rsi
2018.09.03,10:15:00,143.256,143.291,143.183,143.212,1523,143.23752492686114,143.27097662377412,143.31998236227244,25.82522522957996
2018.09.03,10:30:00,143.212,143.384,143.182,143.327,3030,143.27331495611668,143.28342626293542,143.320807966711,81.72162094526975
2018.09.03,10:45:00,143.327,143.366,143.245,143.355,2336,143.30598897367,143.29933153783867,143.32483055886263,86.62843826021809
2018.09.03,11:00:00,143.356,143.435,143.304,143.334,2612,143.317193384202,143.3070356405412,143.3259093166435,61.75950016636151
2018.09.03,11:15:00,143.334,143.354,143.227,143.323,2125,143.3195160305212,143.31058327597648,143.32556704409723,47.48005442819519
2018.09.03,11:30:00,143.262,143.262,143.071,143.138,2911,143.2469096183127,143.27223143687058,143.30350033302696,5.409549592665874
2018.09.03,11:45:00,143.137,143.158,143.071,143.121,1517,143.19654577098763,143.23862445089935,143.28202970561202,4.651996488338798
2018.09.03,12:00:00,143.12,143.133,143.016,143.075,1500,143.14792746259258,143.20226346181062,143.25767326965766,2.646392620709536
2018.09.03,12:15:00,143.073,143.076,142.939,142.94,1515,143.06475647755553,143.14398269251936,143.22029994381558,0.7495734774881333
2018.09.03,12:30:00,142.941,143.016,142.926,142.999,1477,143.03845388653332,143.11176431640394,143.19426465630784,38.97907702438864
2018.09.03,12:45:00,142.999,143.047,142.905,142.928,1310,142.99427233192,143.0709278016475,143.16293940262454,20.227342689902745
2018.09.03,13:00:00,142.928,142.932,142.837,142.865,2060,142.942563399152,143.02516606794808,143.12788770819813,10.911680544373855
2018.09.03,13:15:00,142.866,143.086,142.86,143.084,2024,142.99913803949119,143.03824027507073,143.1227244484101,78.79811252804471
2018.09.03,13:30:00,143.09,143.193,143.083,143.117,2538,143.0462828236947,143.05574243616613,143.12205098389126,82.75775407592316
2018.09.03,13:45:00,143.117,143.209,143.112,143.15,1805,143.08776969421683,143.07668856146253,143.12533910343345,87.44665304590156
2018.09.03,14:00:00,143.149,143.157,143.079,143.107,1297,143.0954618165301,143.08342443669306,143.12318156185304,51.177343384250406
2018.09.03,14:15:00,143.108,143.112,142.953,142.977,1568,143.04807708991805,143.0597745618724,143.1059837310468,14.589389836839283
2018.09.03,14:30:00,142.976,143.089,142.966,143.066,1748,143.05524625395083,143.06115799256742,143.10127976268834,56.83928628097859
2018.09.03,14:45:00,143.068,143.087,143.004,143.009,1767,143.0367477523705,143.04956732755244,143.0904233200191,34.793462888073584
2018.09.03,15:00:00,143.016,143.118,142.913,143.108,2180,143.06524865142228,143.06255236587413,143.09249116472276,72.22075771430316
2018.09.03,15:15:00,143.108,143.111,142.97,143.011,2245,143.04354919085335,143.05109628456876,143.082903968873,33.989913178599004
2018.09.03,15:30:00,143.01,143.012,142.864,142.964,2853,143.011729514512,143.0317415546646,143.06891526665265,22.46540811278408
2018.09.03,15:45:00,142.962,142.969,142.871,142.9,2413,142.9670377087072,143.002465653628,143.0490428823406,11.680121379361768
2018.09.03,16:00:00,142.901,142.951,142.866,142.95,2125,142.96022262522433,142.99080661948844,143.0373907785358,49.535290295460065
2018.09.03,16:15:00,142.956,143.061,142.949,143.022,2009,142.9849335751346,142.99773848182434,143.03558009870807,77.41474315770427
2018.09.03,16:30:00,143.023,143.067,142.974,143.061,1535,143.01536014508076,143.01179659697448,143.03857067533065,85.87090052015905
2018.09.03,16:45:00,143.059,143.116,143.029,143.105,1499,143.05121608704846,143.03250846431348,143.04638588999762,92.34121965351405
2018.09.03,17:00:00,143.104,143.151,143.002,143.009,1355,143.03432965222908,143.0272843611327,143.04198754999788,30.79790202611044
2018.09.03,17:15:00,143.014,143.046,142.984,143.04,1261,143.03659779133744,143.03011005865875,143.04175372058637,51.62157985395733
2018.09.03,17:30:00,143.039,143.161,143.033,143.117,2014,143.06875867480247,143.04941893451235,143.0506062240468,80.60867476449404
2018.09.03,17:45:00,143.117,143.124,143.003,143.048,2615,143.06045520488146,143.04910361573184,143.05029960945305,38.86920026607682
2018.09.03,18:00:00,143.048,143.072,143.005,143.045,2078,143.05427312292886,143.04819170112475,143.049676125988,37.19446682299876
2018.09.03,18:15:00,143.044,143.101,143.005,143.085,1533,143.06656387375733,143.05637132309704,143.05383187587177,70.77412757634232
2018.09.03,18:30:00,143.087,143.154,143.063,143.117,1229,143.08673832425438,143.06984436240882,143.06126341988684,84.24869649264801
2018.09.03,18:45:00,143.117,143.117,142.988,143.004,1465,143.05364299455263,143.0552122818735,143.05452654695898,19.794528103661644
2018.09.03,19:00:00,143.004,143.068,142.984,143.003,1405,143.03338579673158,143.04360955256828,143.04846460025792,19.53007823574631
2018.09.03,19:15:00,143.004,143.033,142.966,143.011,1530,143.02443147803893,143.03636298533087,143.04405700022758,33.70172753549272
2018.09.03,19:30:00,143.011,143.04,143.011,143.033,662,143.02785888682337,143.03561565525735,143.0427561766714,66.32231345078827
2018.09.03,19:45:00,143.032,143.141,143,143.1,2367,143.05671533209403,143.04992328742236,143.0494907441218,91.5740396823464
2018.09.03,20:00:00,143.1,143.1,142.976,143.013,1332,143.03922919925643,143.0417181124396,143.0451977154016,31.07093835721395
2018.09.03,20:15:00,143.013,143.014,142.951,142.977,3491,143.01433751955386,143.02733630967526,143.0371744547661,20.087400584873745
2018.09.03,20:30:00,142.978,143.025,142.938,142.992,1312,143.0054025117323,143.01948379641408,143.03185981302892,38.27151808561882
2018.09.03,20:45:00,142.99,143.002,142.967,142.98,1163,142.9952415070394,143.0107096194332,143.02575865855493,28.056649898722217
2018.09.03,21:00:00,142.979,143,142.975,143,421,142.99714490422363,143.0083297040036,143.0227282281367,61.92837173192296
2018.09.03,21:15:00,143.001,143.019,142.99,143.015,1015,143.00428694253418,143.0098119920028,143.0218190248265,77.68652003043813
2018.09.03,21:30:00,143.016,143.046,143,143.039,1779,143.0181721655205,143.01629821600216,143.02384031602338,90.40076196707815
2018.09.03,21:45:00,143.039,143.058,142.985,143.025,1408,143.0209032993123,143.01823194577946,143.0239767494324,54.302325972657655
2018.09.03,22:00:00,143.025,143.056,143.009,143.033,647,143.0257419795874,143.02151373560625,143.0250383083227,68.62200834936051
2018.09.03,22:15:00,143.033,143.062,143.021,143.036,629,143.02984518775244,143.02473290547152,143.02632791910827,74.59308323446368
2018.09.03,22:30:00,143.039,143.045,142.962,143.018,995,143.02510711265148,143.02323670425562,143.02534816391906,22.71727572922894
2018.09.03,22:45:00,143.018,143.031,142.976,143.012,2331,143.0198642675909,143.02073965886547,143.0237777916933,15.521147670871024
2018.09.03,23:00:00,143.005,143.04,142.992,143.007,1057,143.01471856055454,143.0176864013398,143.02180393384702,10.158162957471434
2018.09.03,23:15:00,143.01,143.06,143.01,143.026,1860,143.01923113633273,143.01953386770873,143.02229758868856,75.22294607547138
2018.09.03,23:30:00,143.03,143.045,143,143.01,779,143.01553868179963,143.01741523044012,143.02085081354872,33.888330015261516
2018.09.03,23:45:00,143.01,143.021,142.861,142.881,1360,142.96172320907976,142.98710073478676,143.00439777666062,3.4367400245411597
2018.09.04,00:00:00,142.865,142.957,142.809,142.896,839,142.93543392544785,142.96685612705636,142.9916450970535,20.127897895666052
2018.09.04,00:15:00,142.885,142.985,142.868,142.909,1219,142.92486035526872,142.95399920993273,142.98192214445896,38.54149467192955
2018.09.04,00:30:00,142.924,142.955,142.888,142.919,595,142.92251621316123,142.94622160772545,142.97451953922848,54.63227646112154
2018.09.04,00:45:00,142.916,142.967,142.892,142.955,337,142.93550972789674,142.94817236156425,142.97222312284865,84.27500469012561
